"Parameter","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS","Temp","TL"
"N1_0[5]",193132.414320357,83.1848405775822,6730.46084704813,180043.538215379,188606.656118533,193154.013245924,197652.557509745,206106.305159112,6539,1.00036360588482,1,182070.770737924,193154.013245924,204008.306982967,269.322605009118,109.246008128393,88.8629062976106,96.066966810773,201.498417318115,58.8231857378528,7156,6137,23,2
"N2_0[1]",0.276825629504755,0.00188920425687137,0.186901021761421,0.0215216124802671,0.130491409192654,0.243843509290415,0.387540379719348,0.718110936343838,9745,1.00063758217799,1,0.0362663489231293,0.243843509290415,0.634080602972555,0.000942293180539894,0.00233053679975673,0.00257748147857675,0.0029251940192922,0.00670359769906276,0.00133590894719467,7286,4492,23,2
"N2_0[2]",0.300592630332508,0.00186799987574931,0.192682183528871,0.0280914168322788,0.150495217720125,0.26884943691575,0.419354157627594,0.74622893650941,10637,1.00117035746801,1,0.0460556426892023,0.26884943691575,0.657137172536623,0.00185808064775421,0.00248895840130461,0.00287405268696542,0.00304567143711576,0.00700178930759954,0.00132091159339685,7833,5109,23,2
"N2_0[3]",0.297465589578117,0.00171780019206875,0.184247560183938,0.0340853304311906,0.155503901960902,0.267571964130529,0.409319580059519,0.724292896508421,11467,1.00019999817252,1,0.0513212150887006,0.267571964130529,0.639884841179558,0.00191629287930923,0.00236623917851665,0.00255082572703672,0.00270750271331885,0.00553568190382275,0.00121469895790725,8550,5694,23,2
"N2_0[4]",0.266846768452362,0.00155188248298107,0.178759157229693,0.0260522603824647,0.128297325702493,0.234232087229164,0.371376291896396,0.691533085586415,13216,1.00012705607497,1,0.040110112122629,0.234232087229164,0.608895727106845,0.00111084212220499,0.00233488815719178,0.00224286138208619,0.00288248872072672,0.00644475675591427,0.00109737075866123,10045,6871,23,2
"N2_0[5]",0.0891944457253589,0.000542821979261907,0.0587933041941155,0.00838462013185575,0.0435456377194266,0.0783951286832825,0.124469985302976,0.227389999759521,11725,1.00006176762829,1,0.0132771915496155,0.0783951286832825,0.201308527329676,0.000394397057455947,0.000793214474151174,0.000821035450812892,0.000848573340483161,0.0017846248519061,0.000383842648668051,8572,6127,23,2
"r",0.204896092498864,0.00104730877709846,0.0378180758100526,0.131329219694266,0.18061768549921,0.203276542813281,0.227822827283559,0.284775072044997,1284,1.00083335102983,1,0.144482117085686,0.203276542813281,0.269502963830879,0.00350915750956937,0.00112649881289403,0.000784227272778104,0.000764633300074202,0.00166987195536372,0.000740724853668516,1273,790,26,2
"Q",1.78637605269415e-07,3.05505195682826e-09,8.76023001052659e-08,4.2210530791963e-08,1.13751478337512e-07,1.67021168192366e-07,2.30563732900061e-07,3.82162827778733e-07,844,1.00273191980779,1,5.66819730552929e-08,1.67021168192366e-07,3.41761606705387e-07,1.76493199090678e-09,1.57029077840761e-09,2.25074209573152e-09,4.37978178855438e-09,9.14564164771632e-09,2.37844693577309e-09,978,1033,26,2
"a1",0.476056513906527,0.00815601026548121,0.248715838916498,0.00196818999206518,0.324756936003658,0.448311428107697,0.610391187620406,1.04766903320523,921,1.00117578762439,1,0.00781359654241753,0.448311428107697,0.929601309020803,0.000565062276279755,0.00641412837884636,0.00457121072601582,0.00424633597921314,0.0121690633521625,0.00576897996570238,870,287,26,2
"e1",0.00029351271924788,6.88177446487376e-05,0.0012845782313521,6.93368372539664e-06,1.27063902771149e-05,1.77577630588905e-05,2.52816377866997e-05,0.00513330098976451,346,1.00142331113044,1,7.93741342387419e-06,1.77577630588905e-05,0.00143739745024046,8.45236902242884e-08,9.69019144784997e-08,2.00030944268923e-07,6.12691420595052e-07,0.00100907914170089,4.87022856362602e-05,817,290,26,2
